{'body_part': 'board', 'category': 'number', 'content': '3', 'speed': 'medium', 'trial_index': 1, 'start': 7096.529485588, 'end': 7097.521127987, 'duration_s': 0.9916423989998293, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '8', 'speed': 'medium', 'trial_index': 2, 'start': 7097.521266688, 'end': 7098.583469286, 'duration_s': 1.0622025980001126, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '0', 'speed': 'medium', 'trial_index': 3, 'start': 7098.583481031, 'end': 7099.744142286, 'duration_s': 1.1606612550003774, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '9', 'speed': 'medium', 'trial_index': 4, 'start': 7099.744152485, 'end': 7100.90979717, 'duration_s': 1.1656446850001885, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '1', 'speed': 'medium', 'trial_index': 5, 'start': 7100.90980643, 'end': 7102.14154765, 'duration_s': 1.2317412200000035, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '6', 'speed': 'medium', 'trial_index': 6, 'start': 7102.141558304, 'end': 7103.236424924, 'duration_s': 1.0948666200001753, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '7', 'speed': 'medium', 'trial_index': 7, 'start': 7103.236433704, 'end': 7104.252143272, 'duration_s': 1.0157095679996928, 'qualified': True}
{'body_part': 'board', 'category': 'number', 'content': '4', 'speed': 'medium', 'trial_index': 8, 'start': 7104.252150483, 'end': 7104.506500854, 'duration_s': 0.2543503709994184, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '2', 'speed': 'medium', 'trial_index': 9, 'start': 7104.506525222, 'end': 7104.714129066, 'duration_s': 0.20760384400000476, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '5', 'speed': 'medium', 'trial_index': 10, 'start': 7104.71415571, 'end': 7104.931103145, 'duration_s': 0.2169474349993834, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '8', 'speed': 'medium', 'trial_index': 11, 'start': 7104.93112562, 'end': 7105.079306603, 'duration_s': 0.1481809830002021, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '2', 'speed': 'medium', 'trial_index': 12, 'start': 7105.079330923, 'end': 7105.29396805, 'duration_s': 0.21463712700006, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '1', 'speed': 'medium', 'trial_index': 13, 'start': 7105.294005126, 'end': 7105.473557114, 'duration_s': 0.17955198799973004, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '7', 'speed': 'medium', 'trial_index': 14, 'start': 7105.473579414, 'end': 7105.703857265, 'duration_s': 0.23027785100020992, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '5', 'speed': 'medium', 'trial_index': 15, 'start': 7105.70388019, 'end': 7105.895036882, 'duration_s': 0.19115669199982221, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '9', 'speed': 'medium', 'trial_index': 16, 'start': 7105.895050149, 'end': 7106.110330304, 'duration_s': 0.21528015500007314, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '4', 'speed': 'medium', 'trial_index': 17, 'start': 7106.11037297, 'end': 7106.281934936, 'duration_s': 0.17156196599989926, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '0', 'speed': 'medium', 'trial_index': 18, 'start': 7106.281969163, 'end': 7106.525214195, 'duration_s': 0.24324503200023173, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '6', 'speed': 'medium', 'trial_index': 19, 'start': 7106.525240004, 'end': 7106.681273861, 'duration_s': 0.1560338569997839, 'qualified': False}
{'body_part': 'board', 'category': 'number', 'content': '3', 'speed': 'medium', 'trial_index': 20, 'start': 7106.681296446, 'end': 7106.932319685, 'duration_s': 0.2510232390004603, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'f', 'speed': 'medium', 'trial_index': 1, 'start': 7115.324156572, 'end': 7116.292211225, 'duration_s': 0.9680546529998537, 'qualified': True}
{'body_part': 'board', 'category': 'alphabet', 'content': 'L', 'speed': 'medium', 'trial_index': 2, 'start': 7116.292219519, 'end': 7116.702514569, 'duration_s': 0.41029505000005884, 'qualified': True}
